id,name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
15425714,Home in Bozeman · ★4.69 · 2 bedrooms · 3 beds · 1 bath,91012372,Peter,f,,,3,$99.00,4.69
15579746,Condo in Bozeman · ★4.67 · 1 bedroom · 2 beds · 1 bath,78849013,Stay Montana,t,,,2,$81.00,4.67
16064719,Home in Bozeman · ★4.75 · 3 bedrooms · 3 beds · 2 baths,104010331,Dream MT,f,Bozeman, Montana, United States,,3,$522.00,4.75
16135754,Condo in Bozeman · ★4.98 · 2 bedrooms · 3 beds · 2 baths,91012372,Peter,f,,,3,$189.00,4.98
16274835,Guesthouse in Bozeman · ★4.87 · 1 bedroom · 2 beds · 1 bath,106429221,Vacation Homes Bozeman,t,Bozeman, Montana, United States,,2,$103.00,4.87
16498232,Home in Bozeman · ★4.93 · 1 bedroom · 1 bed · 1 private bath,77559702,Joe,t,Bozeman, Montana, United States,,1,$65.00,4.93
16504338,Townhouse in Bozeman · ★4.97 · 3 bedrooms · 4 beds · 2.5 baths,68913845,Julia,t,Bozeman, Montana, United States,,4,$164.00,4.97
16531635,Home in Bozeman · ★4.80 · 3 bedrooms · 4 beds · 2 baths,104010331,Dream MT,f,Bozeman, Montana, United States,,4,$385.00,4.8
16546683,Cabin in Bozeman · ★4.98 · 3 bedrooms · 3 beds · 2 baths,103773075,Bozeman Montana,t,Bozeman, Montana, United States,,3,$213.00,4.98
16600051,Chalet in Bozeman · ★4.94 · 2 bedrooms · 2 beds · 1 bath,41587598,Molly,t,Bozeman, Montana, United States,,2,$144.00,4.94
16650024,Rental unit in Bozeman · ★4.96 · 2 bedrooms · 3 beds · 2 baths,110052520,Jeanette,f,Bozeman, Montana, United States,,3,$114.00,4.96
16662749,Home in Bozeman · ★4.93 · 3 bedrooms · 4 beds · 2.5 baths,106429221,Vacation Homes Bozeman,t,Bozeman, Montana, United States,,4,$156.00,4.93
16881888,Rental unit in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1 bath,7849959,Irene,f,Bozeman, Montana, United States,,1,$84.00,5.0
17606899,Condo in Bozeman · ★4.93 · 2 bedrooms · 3 beds · 2 baths,78849013,Stay Montana,t,,,3,$203.00,4.93
17636078,Cottage in Bozeman · ★4.73 · 1 bedroom · 1 bed · 1 bath,1753266,Ellen,t,Bozeman, Montana, United States,,1,$160.00,4.73
18242184,Rental unit in Bozeman · ★4.96 · 1 bedroom · 1 bed · 1 bath,125690435,Kim & Cody,t,Bozeman, Montana, United States,,1,$149.00,4.96
18309166,Guesthouse in Bozeman · ★4.98 · 1 bedroom · 2 beds · 1 bath,55985011,Jylissa & Derrick,t,Bozeman, Montana, United States,,2,$150.00,4.98
18428989,Condo in Bozeman · ★5.0 · 3 bedrooms · 4 beds · 2 baths,78849013,Stay Montana,t,,,4,$104.00,5.0
18509621,Rental unit in Bozeman · ★4.89 · 2 bedrooms · 2 beds · 1 bath,121782093,Samantha,f,Bozeman, Montana, United States,,2,$170.00,4.89
18610457,Townhouse in Bozeman · ★4.91 · 3 bedrooms · 5 beds · 1 bath,68872256,Meagan And Michael,t,Bozeman, Montana, United States,,5,$160.00,4.91
18723425,Home in Bozeman · ★4.83 · 3 bedrooms · 4 beds · 2 baths,129302024,Dan & Alex,t,Bozeman, Montana, United States,,4,$115.00,4.83
